id,cp,ville,adresse,lat,lon,dist_km,pop
69882001,69330,Meyzieu,rue de la République,45.769,4.987,11.75,R
69960004,69960,CORBAS,Avenue du 8 Mai 1945,45.66559,4.8992,12.0,R
69960005,69960,Corbas,47 Avenue du 8 Mai 1945,45.66567,4.89927,12.0,R
69250009,69250,Neuville-sur-Saône,28 AVENUE BURDEAU,45.872,4.839,12.01,R
69330003,69330,Meyzieu,49 Avenue de Verdun,45.776,4.991,12.12,R
69800002,69800,Saint-Priest,72 Route d'Heyrieux,45.68643,4.94548,12.13,R
69800016,69800,Saint-Priest,72 ROUTE D'HEYRIEUX,45.686,4.945,12.13,R
69740002,69740,Genas,22 ROUTE DE LYON,45.734,4.989,12.35,R
69390003,69390,VOURLES,LES SEPT CHEMINS,45.661,4.776,12.36,R
69740001,69740,GENAS,22 Route de Lyon,45.73435,4.98947,12.38,R
69530002,69530,Brignais,213 Rue Général de Gaulle,45.668,4.754,12.42,R
69360011,69360,Saint-Symphorien-d'Ozon,AUTOROUTE A7 - AIRE DE SOLAIZE,45.652,4.836,12.45,A
1700005,01700,MIRIBEL,RUE DU FIGUIER,45.82784,4.97055,12.64,R
69390001,69390,CHARLY,129 Rue de la Mûre,45.654,4.793,12.67,R
1600001,01700,MIRIBEL,Rue du Figuier,45.828,4.972,12.74,R
69800013,69800,Saint-Priest,"AUTOROUTE A43, AIRE DE MANISSIEUX",45.702,4.974,12.76,A
69800018,69800,Saint-Priest,119 Route d'Heyrieux,45.683,4.953,12.81,R
69800006,69800,Saint-Priest,119 RTE D'HEYRIEUX,45.68266,4.954,12.89,R
69800012,69800,Saint-Priest,"AUTOROUTE A43, AIRE DE SAINT PRIEST",45.699,4.974,12.94,A
69670001,69670,VAUGNERAY,61 Route de Bordeaux,45.73259,4.67286,13.11,R
69670002,69670,VAUGNERAY,61 Route de Bordeaux,45.73262,4.67286,13.11,R
69800007,69800,SAINT-PRIEST,AUT A 43,45.69774,4.97552,13.12,A
69800008,69800,Saint-Priest,AIRE DE MANISSIEUX,45.69779,4.97762,13.25,A
69330005,69330,MEYZIEU,80 Rue Joseph Desbois,45.782,5.005,13.28,R
1700003,01700,Miribel,RN 83,45.871,4.912,13.29,R
69360002,69360,SAINT-SYMPHORIEN-D'OZON,A 7 - AIRE DE SOLAIZE,45.64341,4.82819,13.42,A
69800004,69800,SAINT-PRIEST,91 Route de Grenoble,45.70707,4.9888,13.46,R
69390002,69390,Vourles,LES SEPT CHEMINS RN.86,45.65803,4.75131,13.48,R
69800017,69800,Saint-Priest,91 RTE DE GRENOBLE,45.707,4.989,13.48,R
69390008,69390,VOURLES,Rn.86 Les Sept Chemins - Avenue du Général Brosset,45.65781,4.75147,13.5,R
