id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
69210002,Vaulx-en-Velin,69120,236 avenue Franklin Roosevelt,7.6,45.748,4.931,2.399,2.222,2.225,2.109,,,2026-09-18 14:31:51
69120012,Vaulx-en-Velin,69120,55 AV GARIBALDI,7.75,45.76783,4.93544,2.549,,2.429,2.329,,,2026-09-15 11:07:24
69190009,Saint Fons,69190,130 Boulevard Yves Farges,7.89,45.69497,4.85897,2.549,,2.399,2.299,0.949,,2026-09-18 06:00:00
69190012,Saint-Fons,69190,154 boulevard Yves Farge,8.12,45.693,4.86,2.250,,1.990,1.990,,,2026-09-15 09:41:12
69570002,DARDILLY,69570,AIRE PORTE DE LYON,8.24,45.813,4.756,2.447,,2.276,2.196,0.950,,2026-09-17 07:31:00
69571001,Dardilly,69570,23 Avenue de la Porte de Lyon,8.33,45.821,4.766,2.449,,2.276,2.180,0.899,0.999,2026-09-17 08:11:50
69803001,Saint-Priest,69800,BLD. André Boulloche BP 341,8.42,45.72,4.924,2.413,,2.225,2.136,,1.009,2026-09-18 08:56:26
69540001,Irigny,69540,Rue du Chateau d'Yvours,8.49,45.688,4.825,2.480,,2.279,2.199,,,2026-09-18 12:13:25
69270002,Rochetaillée-sur-Saône,69270,261 Quai Pierre Dupont,8.78,45.843,4.835,2.399,2.196,2.214,2.138,,,2026-09-18 07:50:06
69200009,VENISSIEUX,69200,RTE DE CORBAS - RD 57,9.28,45.69,4.891,2.250,,,1.990,,,2026-09-18 00:01:00
