id,fuel,debut
75018013,SP95,2026-02-24
75018014,GPLc,2023-10-17
75018014,SP98,2026-09-18
75019001,SP95,2009-04-17
75019002,SP95,2012-11-23
75019005,E85,2011-05-06
75019005,SP95,2011-05-06
75019006,E85,2011-06-27
75019006,GPLc,2011-06-27
75019006,SP95,2009-04-30
75019007,E85,2010-10-21
75019010,E85,2009-10-08
75019010,SP95,2010-02-01
75019013,GPLc,2021-11-03
75019013,Gazole,2024-10-01
75019013,SP95,2023-12-21
75019014,Gazole,2024-10-01
75019015,E10,2026-09-18
75019015,E85,2019-01-15
75019015,GPLc,2019-01-15
75019015,Gazole,2026-09-18
75019015,SP95,2026-09-18
75019016,E85,2026-09-07
75019016,GPLc,2023-12-15
75019016,SP95,2019-11-05
75019019,E10,2024-10-03
75019019,E85,2024-05-11
75019019,GPLc,2024-10-02
75019019,Gazole,2024-10-07
75019019,SP95,2024-05-11
75019019,SP98,2024-10-03
75020002,GPLc,2009-09-25
75020002,SP95,2009-09-25
75020003,SP95,2009-04-01
75020004,E10,2009-04-17
75020004,Gazole,2013-11-21
75020004,SP95,2009-04-27
75020006,E85,2010-09-07
75020006,GPLc,2010-02-02
75020006,SP95,2010-02-01
75020007,E10,2021-04-30
75020007,E85,2021-04-30
75020007,GPLc,2021-04-30
75020007,Gazole,2021-04-30
75020007,SP95,2014-12-10
75020007,SP98,2021-04-30
75020008,GPLc,2025-07-21
75020008,SP95,2025-07-21
75020009,SP95,2008-02-01
75020010,E85,2022-11-13
75020010,GPLc,2022-11-13
75020010,SP95,2022-11-13
75020011,SP95,2015-09-15
75853002,SP98,2016-07-20
78000002,SP98,2013-07-09
78000003,E85,2012-06-11
78000003,SP95,2009-05-07
78000004,SP95,2009-05-12
78000005,SP95,2009-07-02
78000018,SP98,2016-07-20
78000019,E10,2026-08-28
78000019,E85,2026-08-28
78000019,GPLc,2017-09-23
78000019,SP95,2023-02-16
78000019,SP98,2026-08-25
78000020,E85,2026-04-07
78000020,GPLc,2026-09-08
78000020,SP95,2026-08-30
78000020,SP98,2026-09-18
78140001,SP95,2022-10-05
78140002,GPLc,2016-06-16
78140002,SP98,2016-07-20
78140004,GPLc,2010-11-03
78140004,SP95,2010-11-03
78140005,SP95,2009-10-15
78140006,SP95,2014-08-06
78140008,E85,2024-06-18
78140008,SP95,2024-06-18
78140009,E85,2018-08-07
78140009,GPLc,2021-07-30
78140009,SP95,2018-08-07
78140010,GPLc,2023-07-20
78150015,E10,2022-12-05
78150015,E85,2022-12-05
78150015,GPLc,2022-09-28
78150015,Gazole,2022-12-05
78150015,SP95,2022-09-28
78150015,SP98,2022-12-05
78170001,GPLc,2012-07-01
78220002,E10,2015-04-01
78220002,E85,2011-06-27
78220002,GPLc,2011-06-27
78220002,SP95,2015-04-21
78220002,SP98,2015-04-21
78350001,SP95,2009-11-26
78350002,SP95,2024-06-26
90160002,GPLc,2022-07-18
90160002,SP95,2022-07-18
91120002,SP95,2009-11-25
91120003,SP95,2009-10-31
91140001,SP95,2011-06-17
91140002,E85,2017-09-26
91140002,GPLc,2017-09-26
91140002,SP95,2017-09-26
91140002,SP98,2026-09-07
91160004,GPLc,2012-11-21
91160010,E85,2022-11-30
91160010,GPLc,2024-05-16
91160010,SP95,2026-09-16
91160010,SP98,2024-05-16
91200001,GPLc,2026-08-07
91200005,SP98,2016-11-03
91210003,E10,2010-10-15
91210003,GPLc,2010-10-15
91210003,Gazole,2010-10-14
91210005,SP95,2012-12-12
91210008,SP95,2025-01-20
91210008,SP98,2026-09-18
91230003,E10,2017-09-26
91230003,E85,2017-09-26
91230003,GPLc,2017-09-26
91260001,GPLc,2017-08-30
91260001,SP95,2022-10-20
91260002,GPLc,2017-09-01
91260002,SP95,2025-09-24
91270001,E10,2009-04-17
91270001,SP95,2009-04-17
91270002,E85,2022-10-11
91270002,GPLc,2022-10-11
91270002,SP95,2022-10-11
91300001,GPLc,2011-02-25
91300001,SP95,2009-11-02
91300002,SP95,2009-10-06
91300006,E85,2021-07-30
91300006,GPLc,2021-07-30
91300007,E85,2017-09-05
91300007,GPLc,2026-09-09
91300008,E10,2009-04-17
91300008,SP95,2009-04-17
91300010,SP95,2011-01-23
91300012,E85,2014-09-01
91300012,GPLc,2014-09-01
91300012,SP95,2014-09-01
91300015,E85,2012-12-11
91300015,SP95,2013-01-24
91300017,SP98,2016-07-20
91300018,E10,2023-06-08
91300018,E85,2023-05-29
91300018,Gazole,2023-06-09
91300018,SP98,2023-06-02
91300019,SP95,2022-08-01
91300020,GPLc,2017-09-28
91300020,SP95,2017-09-28
91300020,SP98,2026-09-18
91300021,SP98,2016-11-03
91360001,E85,2009-04-04
91360001,GPLc,2009-05-09
91360001,SP95,2010-09-01
91370001,SP95,2009-11-03
91380004,GPLc,2026-07-28
91380004,SP95,2009-11-12
91380006,SP98,2016-07-20
91380007,E10,2026-05-28
91380007,E85,2022-06-08
91380007,GPLc,2022-06-08
