id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
93120005,LA COURNEUVE,93120,AUTOROUTE A1 - AIRE DE LA COURNEUVE OUEST - SENS LILLE/PARIS,14.01,48.935,2.394,2.250,,1.990,1.990,0.958,0.999,2026-09-20 00:01:00
94470002,Boissy-Saint-Léger,94470,36 Avenue du Général Leclerc,14.02,48.749,2.509,2.519,,,2.379,,,2026-09-16 11:38:08
92000019,NANTERRE,92000,"77, AVENUE LENINE",14.02,48.888,2.19,2.250,,1.990,1.990,0.909,,2026-09-20 00:01:00
91160010,Saulx-les-Chartreux,91160,1 rue du pont neuf,14.03,48.694,2.282,2.401,,,2.319,,,2026-09-16 06:07:59
78000021,VERSAILLES,78000,60 AV DE LA REPUBLIQUE,14.05,48.805,2.153,2.569,,2.469,2.299,,,2026-09-18 14:35:45
93330006,Neuilly-sur-Marne,93330,29-33 BLD DU MARECHAL FOCH,14.05,48.85552,2.52532,2.250,,,,,,2026-09-20 00:01:00
94470006,Boissy-Saint-Léger,94470,55 Av du général Leclerc,14.14,48.748,2.51,2.469,,2.499,2.329,1.199,,2026-09-16 06:57:04
92000015,Nanterre,92000,93 Avenue Vladimir Illitch Lénine,14.14,48.888,2.188,2.689,,2.619,2.439,1.179,,2026-09-18 13:50:05
92700024,COLOMBES,92700,44-50 BD DE VALMY,14.2,48.926,2.253,2.539,,2.499,2.319,,,2026-09-18 14:34:46
93250009,VILLEMOMBLE,93250,32 AV DE ROSNY,14.2,48.885,2.505,2.589,,2.479,2.309,1.199,1.089,2026-09-18 14:33:13
93140002,Bondy,93140,108 Avenue Gallieni,14.36,48.90574,2.48145,2.448,,2.309,2.174,,,2026-09-19 07:31:00
78000005,Versailles,78000,50 Rue du Pont Colbert,14.51,48.788,2.15,2.420,,2.290,2.191,0.911,,2026-09-18 07:31:00
91170007,Viry-Châtillon,91170,158 RN 7,14.56,48.684,2.376,2.519,,2.479,2.299,1.209,1.369,2026-09-18 14:35:15
93160005,Noisy-le-Grand,93160,22 Route de Neuilly,14.57,48.851,2.535,2.430,,2.355,2.221,,,2026-09-19 07:31:00
94430007,Chennevières-sur-Marne,94430,79 RUE DES FUSILLES DE CHATEAUBR,14.63,48.799,2.543,2.250,,1.990,1.990,0.891,,2026-09-20 00:01:00
93140004,BONDY,93140,175 AV MAL GALLIENI,14.64,48.907,2.485,2.559,,2.549,2.369,,,2026-09-18 14:35:55
91210008,DRAVEIL,91210,108 AV DU GENERAL DE GAULLE,14.64,48.687,2.401,2.250,,,1.990,0.884,0.959,2026-09-20 00:01:00
92000018,NANTERRE,92000,47 BLD DU HAVRE,14.73,48.919,2.223,2.250,,,,0.894,0.989,2026-09-20 00:01:00
91600005,Savigny-sur-Orge,91600,35/37 RUE HENRI DUNANT,14.82,48.68,2.342,2.250,,,1.990,,,2026-09-20 00:01:00
93140003,Bondy,93140,205 Avenue Gallieni,14.85,48.907,2.489,2.442,,2.333,2.221,,,2026-09-19 07:31:00
78000020,VERSAILLES,78000,71 RUE DES CHANTIERS,14.92,48.793,2.143,2.250,,,,,,2026-09-20 00:01:00
94370005,Sucy-en-Brie,94370,69 Route de la Queue en Brie,14.99,48.761,2.533,,,,,,,
