day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-03-04,SP98,1.99,7884,119,7431,251,8,197
2025-03-05,E10,1.99,7350,0,7276,247,0,246
2025-03-05,Gazole,2.25,9394,0,9392,257,0,256
2025-03-05,SP98,1.99,7886,115,7445,251,8,199
2025-03-06,E10,1.99,7350,0,7277,247,0,246
2025-03-06,Gazole,2.25,9394,0,9392,257,0,256
2025-03-06,SP98,1.99,7888,106,7462,251,7,201
2025-03-07,E10,1.99,7351,2,7275,247,0,246
2025-03-07,Gazole,2.25,9395,0,9393,257,0,256
2025-03-07,SP98,1.99,7890,85,7499,251,7,205
2025-03-08,E10,1.99,7351,2,7277,247,0,246
2025-03-08,Gazole,2.25,9396,0,9394,257,0,256
2025-03-08,SP98,1.99,7890,63,7539,251,7,208
2025-03-09,E10,1.99,7351,2,7278,247,0,246
2025-03-09,Gazole,2.25,9396,0,9394,257,0,256
2025-03-09,SP98,1.99,7890,62,7540,251,6,209
2025-03-10,E10,1.99,7353,0,7283,247,0,246
2025-03-10,Gazole,2.25,9397,0,9395,257,0,256
2025-03-10,SP98,1.99,7892,61,7550,251,6,210
2025-03-11,E10,1.99,7357,0,7295,247,0,246
2025-03-11,Gazole,2.25,9402,0,9400,257,0,256
2025-03-11,SP98,1.99,7901,49,7598,251,5,214
2025-03-12,E10,1.99,7361,1,7320,247,0,246
2025-03-12,Gazole,2.25,9405,0,9403,257,0,256
2025-03-12,SP98,1.99,7904,43,7625,251,5,221
2025-03-13,E10,1.99,7362,0,7322,247,0,246
2025-03-13,Gazole,2.25,9406,0,9404,257,0,256
2025-03-13,SP98,1.99,7906,40,7638,251,5,222
2025-03-14,E10,1.99,7362,0,7320,247,0,246
2025-03-14,Gazole,2.25,9406,0,9404,257,0,256
2025-03-14,SP98,1.99,7907,39,7649,251,5,223
2025-03-15,E10,1.99,7363,0,7320,247,0,246
2025-03-15,Gazole,2.25,9406,0,9404,257,0,256
2025-03-15,SP98,1.99,7908,40,7650,251,5,221
2025-03-16,E10,1.99,7363,0,7320,247,0,246
2025-03-16,Gazole,2.25,9406,0,9404,257,0,256
2025-03-16,SP98,1.99,7908,39,7650,251,5,221
2025-03-17,E10,1.99,7365,0,7325,247,0,246
2025-03-17,Gazole,2.25,9409,0,9407,257,0,256
2025-03-17,SP98,1.99,7911,38,7658,251,4,223
2025-03-18,E10,1.99,7366,0,7328,247,0,246
2025-03-18,Gazole,2.25,9411,0,9409,257,0,256
2025-03-18,SP98,1.99,7913,43,7660,251,4,222
2025-03-19,E10,1.99,7368,0,7330,247,0,246
2025-03-19,Gazole,2.25,9412,0,9410,257,0,256
2025-03-19,SP98,1.99,7915,52,7644,252,4,221
2025-03-20,E10,1.99,7369,1,7330,248,1,246
2025-03-20,Gazole,2.25,9416,0,9414,258,0,257
2025-03-20,SP98,1.99,7918,53,7646,253,5,221
2025-03-21,E10,1.99,7370,1,7326,248,1,246
2025-03-21,Gazole,2.25,9418,0,9416,258,0,257
2025-03-21,SP98,1.99,7920,52,7645,253,5,221
2025-03-22,E10,1.99,7371,1,7326,248,1,246
2025-03-22,Gazole,2.25,9419,0,9417,258,0,257
2025-03-22,SP98,1.99,7921,58,7641,253,5,220
2025-03-23,E10,1.99,7370,1,7325,248,1,246
2025-03-23,Gazole,2.25,9418,0,9416,258,0,257
