id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
92400018,COURBEVOIE,53-55 RUE DE L'ALMA,11.4,TotalEnergies,recognised,node/1211057208,brand=Total | name=Total - Relais de l'Alma,34,
92400020,COURBEVOIE,43-47 BOULEVARD DE VERDUN,11.41,Total Access,recognised,way/82250343,brand=Total Access | operator=Total | name=Total Access,21,
91200001,ATHIS-MONS,180 ROUTE NATIONALE 7,11.43,Carrefour,recognised,way/70228354,brand=Carrefour | operator=Carrefour | name=Carrefour,137,
94170004,LE PERREUX SUR MARNE,44-46 Avenue de BRY,11.43,Esso,recognised,node/684447206,brand=Esso | operator=Esso | name=Esso,28,
94100006,Saint-Maur-des-Fossés,99/101 Avenue Foch,11.51,Esso Express,recognised,way/93934122,brand=Esso Express | operator=Esso | name=Esso Express,29,
94380004,Bonneuil-sur-Marne,AVENUE JEAN ROSTAND,11.52,TotalEnergies,recognised,way/106884051,brand=TotalEnergies | name=TotalEnergies,76,
93130009,Noisy-le-Sec,20-30 RUE JULES AUFFRET,11.6,Total Access,recognised,way/84114319,operator=Total Access | name=Relais Brément,44,
91380011,Chilly-Mazarin,RUE DE LONGJUMEAU RUE AMPERE,11.66,BP,recognised,node/6005527453,brand=BP | name=BP,30,
92400017,COURBEVOIE,72 BLD DE VERDUN,11.68,TotalEnergies,recognised,way/82250476,brand=Total | name=TotalEnergies,63,
94170002,Le Perreux-sur-Marne,264 Avenue du Général de Gaulle,11.79,Esso Express,recognised,node/401909907,brand=Esso Express | operator=Esso | name=Esso Express,19,
91300022,Massy,VOIE EXPRESS CD 117,11.83,BP,recognised,way/70667688,brand=BP | operator=BP | name=Station BP Igny Ouest,44,
93130011,Noisy-le-Sec,107 RUE DE BREMENT,11.85,BP,recognised,node/476760599,brand=BP | operator=BP | name=BP,48,
91300006,MASSY,Route de Palaiseau,11.87,E.Leclerc,recognised,way/222061675,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E. Leclerc,98,
94380003,BONNEUIL SUR MARNE,5 AVENUE DES ROSES,11.87,E.Leclerc,recognised,node/3298402712,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E. Leclerc,18,
93300001,Aubervilliers,43 Avenue du Président Roosevelt,11.91,Esso,recognised,way/73004689,brand=Esso | name=Esso,31,
91300020,MASSY,40 ROUTE DE PALAISEAU,11.91,Total Access,recognised,node/1118670880,brand=Total Access | operator=Total | name=TotalEnergies,50,
91410004,MORANGIS,69 Avenue Charles de Gaulle,11.93,E.Leclerc,recognised,node/3662206527,brand=E.Leclerc | name=Leclerc Carburants,42,
92000024,NANTERRE,265 AV GEORGES CLEMENCEAU,12.06,BP,recognised,node/887164229,brand=BP | operator=BP | name=BP,150,
91200006,ATHIS MONS,38 AV DE MORANGIS,12.07,BP,recognised,node/2296412775,brand=BP | name=BP,26,
92600009,Asnières-sur-Seine,272 AVENUE DES GRESILLONS,12.08,TotalEnergies,recognised,way/31964247,brand=TotalEnergies | operator=TotalEnergies | name=Les Grésillons,94,
94450004,Limeil-Brévannes,1 BIS AV GABRIEL PERI,12.11,Total Access,recognised,node/5592636862,brand=Total Access | name=Total Access,81,
92600007,ASNIèRES-SUR-SEINE,96 Avenue d'Argenteuil,12.17,Esso,recognised,node/3330751899,brand=Esso | name=Esso,71,
94370003,Sucy-en-Brie,1 Rue de Paris,12.25,Esso Express,recognised,node/9286205836,brand=Esso Express | name=Esso Express,131,
92230010,GENNEVILLIERS,113 AV LAURENT CELY,12.28,,unmatched,,,,
92500012,Rueil-Malmaison,119 AVENUE DU PDT POMPIDOU,12.29,TotalEnergies,recognised,node/1168835124,brand=TotalEnergies | operator=SARL GONCALVES | name=TotalEnergies,33,
93300003,AUBERVILLIERS,100 RUE CHARLES TILLON,12.3,Esso,recognised,node/3336879784,brand=Esso | name=Esso,58,
91430003,Igny,ROUTE NATIONALE 444,12.34,,unmatched,,,,
78140010,VELIZY VILLACOUBLAY,"27,RUE LOUIS BREGUET",12.36,Esso,recognised,node/7532234367,brand=Esso | name=BP,32,
93110005,Rosny-sous-Bois,12/14 BD.GABRIEL PERI - TOTAL,12.38,TotalEnergies,recognised,way/144174294,brand=Total | operator=Total | name=Relais Total des Soudoux,31,
94500010,Champigny-sur-Marne,247 AV CHARLES DE GAULLE,12.45,TotalEnergies,recognised,way/513304254,brand=Total | operator=Total | name=Total Fouchette,39,
91380012,Chilly-Mazarin,38 ROUTE DE LONGJUMEAU,12.48,Intermarché,recognised,way/161212910,brand=Intermarché | operator=Groupement des Mousquetaires | name=Intermarché,3,
91380010,Chilly-Mazarin,32 AV. PIERRE BROSSOLETTE,12.5,TotalEnergies,recognised,node/871089355,brand=Total | name=Total,28,
91260001,VIGNEUX-SUR-SEINE,8 Rue de la Longueraie,12.6,,unmatched,,,,
92000021,NANTERRE,182 RUE P.VAILLANT COUTURIER,12.62,Total Access,recognised,node/1156622406,brand=Total Access | name=Total Access,59,
91380004,Chilly-Mazarin,7 Avenue Pierre Brossolette,12.63,Carrefour Market,recognised,way/512164624,brand=Carrefour Market | name=Carrefour Market,29,
93000011,BOBIGNY,19 AV JEAN JAURES,12.67,,unmatched,,,,
92500013,Rueil-Malmaison,32-40 AVENUE DU 18 JUIN 1940,12.77,TotalEnergies,recognised,node/3149395128,brand=TotalEnergies | name=TotalEnergies,33,
91380007,CHILLY-MAZARIN,118 Rue de la Passerelle,12.82,Carrefour Market,recognised,way/512164624,brand=Carrefour Market | name=Carrefour Market,238,1
93700003,DRANCY,"80, rue Saint Stenay",12.83,HysetCo,raw,way/1422291660,brand=HysetCo | operator=HysetCo | name=HysetCo,118,
94370008,Sucy-en-Brie,63/71 AV DU GENERAL LECLERC,12.85,Total Access,recognised,way/63498661,brand=Total Access | name=Total Access,62,
92000020,NANTERRE,141 RUE PV COUTURIER,12.89,Total Access,recognised,node/1156622524,brand=Total Access | name=Total Access,222,
92410001,Ville-d'Avray,191 Rue de Versailles,12.93,Esso,recognised,node/233174590,brand=Esso | operator=Esso | name=Esso,30,
92500015,RUEIL MALMAISON,246 ROUTE DE L'EMPEREUR,12.93,Esso,recognised,node/6153152496,brand=Esso | name=Esso,35,
91420004,MORANGIS,avenue blaise pascal,12.96,Carrefour Market,recognised,node/2284990170,brand=Carrefour Market,101,
92250002,La Garenne-Colombes,13 Avenue de Verdun-1916,13.01,Esso,recognised,node/4398616166,brand=Esso | name=Esso,39,
91570003,Bièvres,ROUTE NATIONALE 118,13.01,BP,recognised,node/25214815,brand=BP | operator=BP | name=Station BP Chat Blanc,13,
90160002,Champlan,Route Nationale 188 déviée,13.03,Avia,recognised,way/259650795,brand=Avia | name=Avia Xpress,5,
78350002,Jouy-en-Josas,AUTOROUTE A86,13.06,TotalEnergies,recognised,node/25209161,brand=TotalEnergies | operator=TotalEnergies | name=TotalEnergies Access - Relais de Clair Bois,1,
78140008,Vélizy-Villacoublay,AUTOROUTE A86 - AIRE DE VELIZY OUEST,13.06,Total Access,recognised,way/1179753490,brand=Total Access | name=Total Access,47,
91380009,Chilly-Mazarin,10 Rue Pierre Brossolette,13.07,BP,recognised,node/5644368104,brand=BP | name=ESSO,72,
93130006,NOISY-LE-SEC,140 Rue de Paris,13.09,Esso,recognised,way/84107198,brand=Esso | name=Esso,15,
