day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-04-12,E10,1.99,7393,2,7355,67,0,67
2025-04-12,Gazole,2.25,9443,0,9441,72,0,72
2025-04-12,SP98,1.99,7945,23,7739,65,0,65
2025-04-13,E10,1.99,7393,2,7355,67,0,67
2025-04-13,Gazole,2.25,9443,0,9441,72,0,72
2025-04-13,SP98,1.99,7945,23,7740,65,0,65
2025-04-14,E10,1.99,7395,3,7366,67,0,67
2025-04-14,Gazole,2.25,9446,0,9444,72,0,72
2025-04-14,SP98,1.99,7945,21,7751,65,0,65
2025-04-15,E10,1.99,7399,2,7361,67,0,67
2025-04-15,Gazole,2.25,9450,0,9448,72,0,72
2025-04-15,SP98,1.99,7947,13,7791,65,0,65
2025-04-16,E10,1.99,7401,2,7363,67,0,67
2025-04-16,Gazole,2.25,9451,0,9449,72,0,72
2025-04-16,SP98,1.99,7948,12,7807,65,0,65
2025-04-17,E10,1.99,7405,1,7368,67,0,67
2025-04-17,Gazole,2.25,9454,0,9452,72,0,72
2025-04-17,SP98,1.99,7950,9,7804,65,0,65
2025-04-18,E10,1.99,7406,1,7367,67,0,67
2025-04-18,Gazole,2.25,9454,0,9452,72,0,72
2025-04-18,SP98,1.99,7952,9,7805,65,0,65
2025-04-19,E10,1.99,7406,1,7367,67,0,67
2025-04-19,Gazole,2.25,9454,0,9452,72,0,72
2025-04-19,SP98,1.99,7952,9,7806,65,0,65
2025-04-20,E10,1.99,7405,1,7366,67,0,67
2025-04-20,Gazole,2.25,9454,0,9452,72,0,72
2025-04-20,SP98,1.99,7952,9,7806,65,0,65
2025-04-21,E10,1.99,7405,1,7366,67,0,67
2025-04-21,Gazole,2.25,9455,0,9453,72,0,72
2025-04-21,SP98,1.99,7952,9,7806,65,0,65
2025-04-22,E10,1.99,7407,1,7368,67,0,67
2025-04-22,Gazole,2.25,9458,0,9456,72,0,72
2025-04-22,SP98,1.99,7954,8,7816,65,0,65
2025-04-23,E10,1.99,7408,1,7369,67,0,67
2025-04-23,Gazole,2.25,9461,0,9459,72,0,72
2025-04-23,SP98,1.99,7956,11,7815,65,0,65
2025-04-24,E10,1.99,7410,1,7371,67,0,67
2025-04-24,Gazole,2.25,9462,0,9461,72,0,72
2025-04-24,SP98,1.99,7958,13,7810,65,0,65
2025-04-25,E10,1.99,7414,1,7375,67,0,67
2025-04-25,Gazole,2.25,9464,0,9463,72,0,72
2025-04-25,SP98,1.99,7959,13,7804,65,0,65
2025-04-26,E10,1.99,7414,1,7375,67,0,67
2025-04-26,Gazole,2.25,9464,0,9463,72,0,72
2025-04-26,SP98,1.99,7959,13,7799,65,0,65
2025-04-27,E10,1.99,7414,1,7375,67,0,67
2025-04-27,Gazole,2.25,9464,0,9463,72,0,72
2025-04-27,SP98,1.99,7959,13,7799,65,0,65
2025-04-28,E10,1.99,7416,1,7377,67,0,67
2025-04-28,Gazole,2.25,9465,0,9464,72,0,72
2025-04-28,SP98,1.99,7960,13,7803,65,0,65
2025-04-29,E10,1.99,7419,1,7380,67,0,67
2025-04-29,Gazole,2.25,9466,0,9465,72,0,72
2025-04-29,SP98,1.99,7962,10,7814,65,0,65
2025-04-30,E10,1.99,7424,1,7385,67,0,67
2025-04-30,Gazole,2.25,9468,0,9467,72,0,72
2025-04-30,SP98,1.99,7964,10,7819,65,0,65
2025-05-01,E10,1.99,7423,1,7384,67,0,67
2025-05-01,Gazole,2.25,9468,0,9467,72,0,72
2025-05-01,SP98,1.99,7965,10,7820,65,0,65
2025-05-02,E10,1.99,7425,1,7386,67,0,67
2025-05-02,Gazole,2.25,9470,0,9469,72,0,72
2025-05-02,SP98,1.99,7966,10,7826,65,0,65
2025-05-03,E10,1.99,7425,1,7386,67,0,67
2025-05-03,Gazole,2.25,9470,0,9469,72,0,72
